CODE_ISIN,CODE_LANGUE
FR2CIBFS0870,EN
FR001400GXY8,EN
FR001400L404,EN
XS2637658423,EN
FR2CIBFS2801,EN
XS2699519315,EN
XS2699552951,EN
XS2521294483,EN
FR1CIBFS9690,EN
XS2699553090,EN
FR001400FM37,EN
FR001400CPO4,EN
FR001400J0O5,EN
FR001400A1J2,EN
FRSG000141K8,EN
XS2659669779,EN
XS2523669203,EN
FR001400IZ88,EN
FR001400JI96,EN
FR001400L8R7,EN
FR0010541813,FR
FR0011299379,FR
LU1426148711,FR
LU0177592218,FR
LU0110060430,FR
FR0010116343,FR
FR0007009139,FR
FR0010032326,FR
LU0171289571,FR
FR0007079512,FR
FR0010250068,FR
FR0007076930,FR
FR0010249847,FR
FR0007085691,FR
FR0010097642,FR
LU1102959951,FR
LU1103303167,FR
FR0011845650,FR
FR0010487512,FR
LU0069450822,FR
LU0303816705,FR
LU0053685029,FR
LU1160356009,FR
FR0010541821,FR
LU0360500044,FR
LU0972618812,FR
LU0740858492,FR
LU0289473059,FR
LU0318933057,FR
LU1435385593,FR
FR0010527275,FR
FR0010312660,FR
FR0010306142,FR
